rank,station,value
等级1,杭州东,32341.60329760161
等级1,南京南,30861.36884636716
等级1,上海虹桥,30621.09595941532
等级1,广州南,26519.602663231148
等级1,长沙南,25193.736804939374
等级1,义乌,21348.494638048272
等级1,石家庄,20693.50215686781
等级1,上饶,20639.93320088886
等级1,郑州东,20165.117399911014
等级1,郑州,19832.23153939149
等级1,沈阳北,19369.43420839481
等级1,常州,18968.087115759678
等级1,山海关,18775.60968719112
等级1,唐山,18749.484457059607
等级1,金华,18520.51192267647
等级1,无锡,18422.602558993167
等级1,武汉,18403.225294434684
等级1,苏州,18212.065247000108
等级1,天津,17369.053952862847
等级1,深圳北,17309.883932264333
等级1,徐州东,17194.161283205645
等级1,南昌西,17015.73179820764
等级1,温州南,16853.611231223524
等级1,宁波,16852.717749290467
等级1,西安北,16457.766734984365
等级1,南京,16413.13695822619
等级1,长春,16222.34288377238
等级1,沈阳,16203.453913827158
等级1,厦门北,16187.59177268309
等级1,徐州,15204.142259859693
等级1,合肥南,15133.007987192954
等级1,秦皇岛,14711.046019936335
等级1,济南西,14503.158960104323
等级1,成都东,14412.82058586846
等级1,商丘,13789.820450186478
等级1,衢州,13767.487150610195
等级1,北京西,13531.369966382888
等级1,济南,13392.191840344653
等级1,莆田,13144.118555565874
等级1,汉口,12909.788767705955
等级1,嘉兴南,12341.93364729903
等级1,长沙,12246.761282162088
等级1,上海,11905.239071767688
等级1,北京南,11883.517671837595
等级1,福州,11811.952604819491
等级1,南宁东,11776.373336720246
等级1,武昌,11484.57668258114
等级1,南昌,11464.924567604889
等级1,昆山南,11205.818403264648
等级1,九江,11110.457933583555
等级1,西安,11012.58928208636
等级1,福州南,10740.429138905383
等级1,兰州,10726.713746496403
等级1,镇江,10683.86584602843
等级1,宜春,10653.290027368505
等级1,广州,10637.140843031211
等级1,芜湖,10544.955015989028
等级1,蚌埠,10441.086578377784
等级1,湖州,10361.20111940319
等级1,四平,10169.872391347046
等级1,余姚北,10083.30914245132
等级1,柳州,10064.058506842695
等级1,潮汕,10023.631942582831
等级1,衡阳东,9966.656272529017
等级1,重庆西,9946.883322303876
等级1,广元,9927.24902619998
等级1,泉州,9898.49973673541
等级1,北京,9875.086105573324
等级1,天津西,9824.590028945167
等级1,桂林北,9811.0355879609
等级1,哈尔滨,9785.879592507365
等级1,阜阳,9755.386816319546
等级1,昆明南,9660.180520794356
等级1,漳州,9565.50854114681
等级1,宜昌东,9535.393673389031
等级1,锦州,9491.148885000408
等级1,贵阳北,9422.160552553383
等级1,佛山西,9236.948194193288
等级1,诸暨,9127.843842184046
等级1,怀化南,9042.589584047426
等级1,杭州南,9006.303537990205
等级1,南宁,8860.130319417201
等级1,蚌埠南,8848.03993006997
等级1,重庆北,8815.355213584377
等级1,衡阳,8767.265143488245
等级1,上海南,8639.26612717335
等级1,青岛北,8597.503097141334
等级1,宜兴,8536.598122622
等级1,哈尔滨西,8480.655645044126
等级1,德州东,8423.468809644644
等级1,兖州,8380.66703950816
等级1,鹰潭北,8362.563702678419
等级1,衡水,8316.057989720479
等级1,洛阳,8187.871836449597
等级1,萍乡北,8175.043233924845
等级1,信阳,8153.593863676869
等级1,岳阳东,8139.889634894143
等级1,台州,8129.13265777517
等级1,金华南,8076.511332489884
等级1,信阳东,8059.151114292684
等级1,合肥,8022.227744730746
等级1,潍坊,7855.6906620059935
等级1,泰山,7842.7650330649585
等级1,辽阳,7819.208877475408
等级1,菏泽,7679.386732881069
等级1,汉中,7654.248997307925
等级1,杭州,7626.84820038278
等级1,赣州,7563.704569270657
等级1,洛阳龙门,7554.991445524527
等级1,德州,7488.585778652747
等级1,苏州北,7398.252412680967
等级1,吉安,7344.824526963035
等级1,六安,7233.03961755219
等级1,保定,7221.78780257616
等级1,兰州西,7166.98240104214
等级1,广州东,7149.825580437439
等级1,永州,7121.339425800138
等级1,昆明,7003.326514944058
等级1,锦州南,6800.43962729584
等级1,淄博,6730.088935350383
等级1,宣城,6724.425518129186
等级1,驻马店西,6689.878981894832
等级1,娄底南,6626.123320588544
等级1,铁岭,6625.795610731584
等级1,漯河西,6617.553372987853
等级1,丹阳,6583.804358397717
等级1,聊城,6581.814276742511
等级1,丽水,6540.122079393609
等级1,沧州,6538.132064635796
等级1,开封,6536.23142010461
等级1,邯郸,6521.153597955447
等级1,乌鲁木齐,6504.755415219512
等级1,宝鸡,6454.239481169757
等级1,鹰潭,6425.493643186121
等级1,郴州西,6374.414590150543
等级1,怀化,6304.87763562398
等级1,恩施,6295.431869462036
等级1,荆州,6229.311051830654
等级1,齐齐哈尔,6166.340793149198
等级1,贵港,6150.257075481835
等级1,韶关东,6149.04812811029
等级1,太原南,6095.087730076212
等级1,绵阳,6059.630029431209
等级1,湘潭,5980.643987268229
等级1,公主岭,5973.010406005584
等级1,潢川,5904.863729576681
等级1,华山北,5903.952068328709
等级1,邯郸东,5851.473345046283
等级1,葫芦岛,5825.162453180612
等级1,黄山北,5817.086923718737
等级1,新乡,5807.201140477634
等级1,三明北,5791.158395272483
等级1,溧水,5756.341582232863
等级1,保定东,5752.01038640219
等级1,鞍山,5749.662308485976
等级1,包头,5745.613273679301
等级1,温岭,5712.549231292819
等级1,韶关,5659.044081771586
等级1,惠州南,5658.982112041324
等级1,太原,5658.690724979432
等级1,宿州东,5608.111344503434
等级1,漯河,5604.895875880309
等级1,武威,5582.821588709972
等级1,凯里南,5549.15805149173
等级1,绍兴北,5538.139652669462
等级1,贵阳,5533.42171091644
等级1,天水,5516.463098146224
等级1,邢台,5510.873534111108
等级1,麻城,5482.038260439132
等级1,深圳,5468.601246870437
等级1,青岛,5463.850604334216
等级1,海宁,5446.310722891123
等级1,龙岩,5429.212606225313
等级1,张掖,5400.384524484741
等级1,大连,5398.830282005837
等级1,苍南,5371.4575649605085
等级1,海城,5368.112110139332
等级1,襄阳,5344.623653337717
等级1,青田,5292.347014706994
等级1,安阳东,5276.3289217883375
等级1,南平市,5247.507846339505
等级1,来宾北,5247.29406504162
等级1,曲阜东,5239.281855569088
等级1,长春西,5228.7566980288375
等级1,滕州,5211.106842618209
等级1,安康,5207.157865194682
等级1,大连北,5179.780348486079
等级1,吉林,5146.894812157449
等级1,枣庄,5138.277919835703
等级1,肇庆东,5131.091826930047
等级1,常州北,5130.587425515959
等级1,梧州南,5130.5041080246365
等级1,虎门,5120.823510570287
等级1,东莞东,5111.986283207077
等级1,茂名,5084.832050590107
等级1,宁德,5078.631534271116
等级1,镇江南,5067.350450543761
等级1,鄂州,5061.038831648218
等级1,邢台东,5054.9830435204
等级1,无锡东,4962.236869157178
等级1,江油,4954.4658975793645
等级1,咸宁北,4950.525568297408
等级1,济南东,4948.080635111311
等级1,岳阳,4931.587553038996
等级1,盘锦,4927.711755445713
等级1,金州,4892.391397328361
等级1,深圳坪山,4879.262555763056
等级1,安阳,4879.126642989177
等级1,阳新,4876.758477456433
等级1,北戴河,4875.50571925388
等级1,株洲西,4869.184562348489
等级1,嘉峪关,4863.688662200068
等级1,永康南,4855.893608452052
等级1,绍兴东,4820.999509115876
等级1,株洲,4772.884709634122
等级1,缙云西,4766.54990682978
等级1,南阳,4739.206802938601
等级1,普宁,4717.964808478795
等级1,德阳,4717.339412484984
等级1,海口东,4703.462727563199
等级1,沟帮子,4681.846798214133
等级1,萍乡,4616.822511570385
等级1,哈密,4603.096345980594
等级1,渭南北,4594.806432704836
等级1,滁州北,4584.021608994533
等级1,驻马店,4566.3300127274615
等级1,新乡东,4559.23310400369
等级1,滦县,4546.867834677408
等级1,江山,4502.341907040057
等级1,东莞西,4501.609504143906
等级1,平阳,4469.955989591634
等级1,成都,4460.790266827685
等级1,昌图,4456.734247027478
等级1,溧阳,4440.469489079151
等级1,枣庄西,4429.203041950692
等级1,昆山,4425.906633567138
等级1,百色,4417.820321890806
等级1,遵义,4412.799327226181
等级1,乐清,4402.99909013148
等级1,达州,4397.900857034251
等级1,新余北,4393.018340533023
等级1,沧州西,4389.734393127512
等级1,莱阳,4380.562957696375
等级1,四平东,4380.55199965564
等级1,绥中,4357.727164154291
等级1,许昌东,4354.401618813996
等级1,贵阳东,4340.49727186322
等级1,陇西,4331.984185028914
等级1,厦门,4326.944448246446
等级1,湘潭北,4315.076322836624
等级1,瓦房店,4299.587283026994
等级1,新余,4288.671096450631
等级1,呼和浩特东,4284.657147661295
等级1,晋江,4265.506580263562
等级1,葫芦岛北,4253.648759351259
等级1,德惠,4251.09324204913
等级1,东莞,4247.815213042124
等级1,宝鸡南,4226.275053244247
等级1,大石桥,4209.13941801244
等级1,全州南,4168.892017498576
等级1,湛江西,4166.62144121174
等级1,金昌,4153.766459681387
等级1,长兴,4151.296242553649
等级1,龙川,4150.418843754116
等级1,熊岳城,4145.600336701344
等级1,民权,4120.929000161025
等级1,牡丹江,4108.028915118196
等级1,兰考,4090.692405680054
等级1,集宁南,4089.290132693487
等级1,曲靖北,4089.2637817553127
等级1,大同,4083.3256096866457
等级1,瑞安,4051.5432933645016
等级1,安顺西,4039.2974589470346
等级1,泰安,4029.2771423324416
等级1,滁州,4022.700493940393
等级1,福清,4022.282161850314
等级1,陆丰,4021.105027969511
等级1,鹤壁东,3988.661220071908
等级1,石家庄北,3988.451213815382
等级1,潜江,3974.8737983962583
等级1,佳木斯,3972.745512004407
等级1,抚州,3969.688048285456
等级1,天津南,3959.5884660251854
等级1,绥化,3945.823721630986
等级1,商丘南,3922.875701024714
等级1,娄底,3918.8656395053936
等级1,庐山,3904.201401614972
等级1,六盘水,3875.0413227828
等级1,宿州,3859.159989837453
等级1,云霄,3857.655539611863
等级1,曲靖,3855.341143365985
等级1,渭南,3839.317812956044
等级1,饶平,3835.568424743959
等级1,三门峡,3817.9419860944254
等级1,兴城,3811.842426984768
等级1,武义北,3789.739500925893
等级1,哈尔滨东,3789.395901636392
等级1,珠海,3785.619345696616
等级1,利川,3776.693153252639
等级1,定西,3773.07120152439
等级1,阳泉北,3748.5940504129912
等级1,诏安,3745.843494539667
等级1,贺州,3735.674029869904
等级1,甘谷,3730.571771130185
等级1,祁东,3725.0821757142335
等级1,宁海,3720.8742968975766
等级1,淄博北,3707.959902184104
等级1,东安东,3681.7162834532783
等级1,美兰,3616.425225245629
等级1,潍坊北,3599.467321085145
等级1,麻城北,3581.849669269189
等级1,开原,3566.137828378085
等级1,天水南,3554.722312659801
等级1,连云港,3551.793700747835
等级1,亳州,3550.273533713411
等级1,许昌,3545.3155619497697
等级1,任丘,3533.1732627793717
等级1,包头东,3512.5816991723973
等级1,祁阳,3504.3039033455634
等级1,孝感,3501.999182627296
等级1,潮阳,3491.5364809158964
等级1,漳浦,3467.47972788058
等级1,西宁,3463.471160784205
等级1,大虎山,3452.105936414402
等级1,肇庆,3443.5878009781068
等级1,桐乡,3438.3858887580286
等级1,金寨,3429.5754647595363
等级1,咸阳,3412.1425955333943
等级1,阳江,3404.003874648319
等级1,柳园,3391.2006494204893
等级1,阜阳西,3382.8122150934632
等级1,向塘,3377.3225314777355
等级1,呼和浩特,3356.9237837413352
等级1,嘉善南,3332.3970264672244
等级1,三门县,3277.7169509264186
等级1,运城北,3274.958723960764
等级1,沈阳南,3264.380731773468
等级1,铁岭西,3237.424351633039
等级1,盘锦北,3234.784429755693
等级1,河源,3232.71312623631
等级1,海宁西,3220.008913635471
等级1,宾阳,3210.701691690342
等级1,大朗镇,3185.910701624873
等级1,仲恺,3185.910701624873
等级1,常平东,3185.910701624873
等级1,黄石北,3177.1929623984847
等级1,通辽,3176.3241273543367
等级1,绩溪北,3170.032024063028
等级1,吐鲁番北,3160.303746925838
等级1,常平南,3157.7016585941474
等级1,寮步,3157.7016585941474
等级1,东城南,3157.7016585941474
等级1,樟木头东,3153.641215583601
等级1,沥林北,3153.641215583601
等级1,鞍山西,3149.676425804031
等级1,辛集,3126.216583546296
等级1,龙丰,3125.4321725528757
等级1,惠环,3125.4321725528757
等级1,云山,3125.4321725528757
等级1,道滘,3125.4321725528757
等级1,双城堡,3108.335356413771
等级1,池州,3105.247484807422
等级1,铜陵北,3105.071322595257
等级1,汉川,3100.9910613849006
等级1,玉林,3097.206262006383
等级1,大庆西,3097.131895984559
等级1,肇东,3067.539314077105
等级1,杨陵南,3066.2473540983283
等级1,临海,3063.237997193842
等级1,凯里,3059.839054955637
等级1,定州,3058.9504148178103
等级1,蕲春,3055.9623162371527
等级1,黄州,3054.893338921687
等级1,玉山南,3053.6308338925087
等级1,绥中北,3034.850779112863
等级1,惠州,3022.7180698881784
等级1,中卫,3012.5856109325
等级1,青州市,3009.5456510489867
等级1,巢湖东,3009.2340497248165
等级1,三亚,3005.577173658592
等级1,银川,3004.2916402036744
等级1,扶余,2998.3631408106926
等级1,白洋淀,2978.006036879124
等级1,海口,2975.6451945088484
等级1,清河城,2966.405422864704
等级1,醴陵东,2964.197025134387
等级1,嘉善,2951.5272630725467
等级1,禹城,2947.81884313041
等级1,桂平,2917.2071961226115
等级1,衡水北,2908.167380940881
等级1,霸州,2903.998970200722
等级1,烟台,2872.7106339469788
等级1,红安西,2852.2386024912657
等级1,铜仁南,2848.762363163492
