train_no,origin_station,destination_station,station_train_code
24000000D121,北京,沈阳南,D1
12000000D20K,沈阳南,北京,D2
24000000D325,北京,沈阳南,D3
12000000D400,沈阳南,北京,D4
12000000D60J,沈阳北,北京,D6
24000000D711,北京,沈阳北,D7
24000000D900,北京,沈阳南,D9
1200000D100I,沈阳南,北京,D10
2400000D1120,北京,沈阳南,D11
1200000D1220,沈阳南,北京,D12
2400000D1336,北京,沈阳北,D13
1200000D140C,沈阳北,北京,D14
2400000D170I,北京,沈阳南,D17
1200000D180B,沈阳南,北京,D18
2400000D190S,北京,长春,D19
1100000D200B,长春,北京,D20
2400000D211A,北京,珲春,D21
1c00000D2206,珲春,北京,D22
2400000D2322,北京,长春西,D23
1g00000D2406,长春西,北京,D24
2400000D2531,北京,佳木斯,D25
0200000D2601,佳木斯,北京,D26
2400000D2713,北京,哈尔滨西,D27
0h00000D280L,哈尔滨西,北京,D28
2400000D291A,北京,齐齐哈尔南,D29
0400000D3009,齐齐哈尔南,北京,D30
1g00000D3100,大连北,北京,D31
2400000D3320,北京,大连北,D32
2400000D3320,北京,大连北,D33
1g00000D3100,大连北,北京,D34
1g00000D350A,大连北,北京,D35
2400000D370K,北京,大连北,D36
2400000D370K,北京,大连北,D37
1g00000D350A,大连北,北京,D38
1g00000D3909,大连北,北京,D39
2400000D410O,北京,大连北,D40
2400000D410O,北京,大连北,D41
1g00000D3909,大连北,北京,D42
1g00000D430E,大连北,北京,D43
2400000D450I,北京,大连北,D44
2400000D450I,北京,大连北,D45
1g00000D430E,大连北,北京,D46
2400000D4903,北京,通辽,D48
2400000D4903,北京,通辽,D49
1600000D5001,通辽,北京,D50
2400000D5121,北京,沈阳北,D51
1200000D520C,沈阳北,北京,D52
8500000D5502,兰州,乌鲁木齐,D55
9300000D5606,乌鲁木齐,兰州,D56
2400000D730O,北京,吉林,D73
1800000D740E,吉林,北京,D74
240000D10119,北京,哈尔滨西,D101
0h0000D1020L,哈尔滨西,北京,D102
1c0000D1140C,珲春,齐齐哈尔南,D111
040000D1120G,齐齐哈尔南,珲春,D112
040000D1120G,齐齐哈尔南,珲春,D113
1c0000D1140C,珲春,齐齐哈尔南,D114
1c0000D11803,延吉西,哈尔滨西,D115
0h0000D11605,哈尔滨西,延吉西,D116
0h0000D11605,哈尔滨西,延吉西,D117
1c0000D11803,延吉西,哈尔滨西,D118
1g0000D11902,长春西,牡丹江,D119
030000D12002,牡丹江,长春,D120
110000D12102,长春,佳木斯,D121
020000D12200,佳木斯,长春西,D122
180000D12601,吉林,哈尔滨西,D123
0h0000D12400,哈尔滨西,吉林,D124
0h0000D12400,哈尔滨西,吉林,D125
180000D12601,吉林,哈尔滨西,D126
180000D13002,吉林,齐齐哈尔南,D127
040000D12801,齐齐哈尔南,吉林,D128
040000D12801,齐齐哈尔南,吉林,D129
180000D13002,吉林,齐齐哈尔南,D130
180000D13410,吉林,佳木斯,D131
0h0000D13200,哈尔滨西,吉林,D132
0h0000D13200,哈尔滨西,吉林,D133
180000D13410,吉林,佳木斯,D134
180000D13802,吉林,牡丹江,D135
030000D13601,牡丹江,吉林,D136
030000D13601,牡丹江,吉林,D137
180000D13802,吉林,牡丹江,D138
710000D20102,南宁东,广州南,D201
6c0000D20206,广州南,南宁东,D202
710000D20303,南宁东,广州南,D203
6c0000D20406,广州南,南宁东,D204
710000D20503,南宁东,广州南,D205
6c0000D20604,广州南,南宁东,D206
710000D20704,南宁东,广州南,D207
6c0000D20803,广州南,南宁东,D208
780000D21105,贵阳北,广州南,D211
6c0000D21207,广州南,贵阳北,D212
780000D21302,贵阳北,广州南,D213
6c0000D21403,广州南,贵阳北,D214
380000D2950A,郑州,福州,D295
580000D2960K,福州,郑州,D296
380000D2950A,郑州,福州,D298
4f0000D3080K,西安北,上海,D305
550000D306A1,上海,西安北,D306
550000D306A1,上海,西安北,D307
4f0000D3080K,西安北,上海,D308
8d0000D31200,兰州西,上海,D309
550000D31000,上海,兰州西,D310
550000D31000,上海,兰州西,D311
8d0000D31200,兰州西,上海,D312
240000D33500,北京,青岛北,D335
490000D33600,青岛北,北京,D336
760000D35406,成都东,上海虹桥,D351
5l0000D35280,上海虹桥,成都东,D352
5l0000D35280,上海虹桥,成都东,D353
760000D35406,成都东,上海虹桥,D354
390000D36102,汉口,成都东,D361
760000D36201,成都东,汉口,D362
760000D36806,成都东,武汉,D365
4e0000D3660C,武汉,成都东,D366
4e0000D3660C,武汉,成都东,D367
760000D36806,成都东,武汉,D368
5l0000D37710,上海虹桥,深圳北,D377
6i0000D37800,深圳北,上海虹桥,D378
5l0000D38190,上海虹桥,莆田,D381
5n0000D3820I,福州南,上海虹桥,D382
760000D62001,成都东,武汉,D617
4e0000D61800,武汉,成都东,D618
4e0000D61800,武汉,成都东,D619
760000D62001,成都东,武汉,D620
420000D62300,宜昌东,重庆北,D623
770000D62400,重庆北,宜昌东,D624
390000D62501,汉口,重庆北,D625
770000D62600,重庆北,汉口,D626
390000D62904,汉口,重庆北,D629
770000D63003,重庆北,汉口,D630
760000D63410,成都东,武汉,D631
4e0000D6320A,武汉,成都东,D632
4e0000D6320A,武汉,成都东,D633
760000D63410,成都东,武汉,D634
760000D63807,成都东,上海虹桥,D635
5l0000D63650,上海虹桥,成都东,D636
5l0000D63650,上海虹桥,成都东,D637
760000D63807,成都东,上海虹桥,D638
