origin_station,destination_station,code
北京,锦州南,D1
沈阳南,沈阳,D2
台安,盘锦北,D2
盘锦北,锦州南,D2
锦州南,葫芦岛北,D2
葫芦岛北,绥中北,D2
绥中北,山海关,D2
山海关,秦皇岛,D2
秦皇岛,北京,D2
北京,蓟州,D3
蓟州,葫芦岛北,D3
葫芦岛北,锦州南,D3
锦州南,盘锦北,D3
盘锦北,沈阳,D3
沈阳,沈阳南,D3
沈阳南,沈阳,D4
沈阳,盘锦北,D4
盘锦北,锦州南,D4
锦州南,葫芦岛北,D4
葫芦岛北,北戴河,D4
北戴河,唐山北,D4
唐山北,北京,D4
沈阳北,台安,D6
台安,盘锦北,D6
盘锦北,锦州南,D6
锦州南,秦皇岛,D6
秦皇岛,北戴河,D6
北戴河,北京,D6
北京,唐山北,D7
唐山北,山海关,D7
山海关,葫芦岛北,D7
葫芦岛北,盘锦北,D7
盘锦北,沈阳北,D7
北京,北戴河,D9
北戴河,绥中北,D9
绥中北,锦州南,D9
锦州南,盘锦北,D9
盘锦北,台安,D9
台安,沈阳,D9
沈阳,沈阳南,D9
沈阳南,沈阳,D10
沈阳,盘锦北,D10
盘锦北,葫芦岛北,D10
葫芦岛北,绥中北,D10
绥中北,北戴河,D10
北戴河,北京,D10
北京,唐山北,D11
唐山北,北戴河,D11
北戴河,葫芦岛北,D11
葫芦岛北,锦州南,D11
锦州南,沈阳,D11
沈阳,沈阳南,D11
沈阳南,沈阳,D12
沈阳,锦州南,D12
锦州南,葫芦岛北,D12
葫芦岛北,绥中北,D12
绥中北,山海关,D12
山海关,秦皇岛,D12
秦皇岛,北京,D12
北京,唐山北,D13
沈阳北,沈阳南,D14
鞍山西,海城西,D14
海城西,盘锦,D14
盘锦,山海关,D14
山海关,秦皇岛,D14
秦皇岛,唐山北,D14
唐山北,北京,D14
北京,蓟州,D17
滦县,北戴河,D17
北戴河,秦皇岛,D17
秦皇岛,山海关,D17
山海关,葫芦岛北,D17
葫芦岛北,盘锦,D17
盘锦,鞍山西,D17
鞍山西,辽阳,D17
辽阳,沈阳南,D17
沈阳南,辽阳,D18
葫芦岛北,山海关,D18
山海关,北戴河,D18
北戴河,唐山北,D18
唐山北,蓟州,D18
蓟州,北京,D18
北京,唐山北,D19
唐山北,北戴河,D19
北戴河,葫芦岛北,D19
葫芦岛北,盘锦北,D19
盘锦北,沈阳北,D19
沈阳北,公主岭南,D19
公主岭南,长春,D19
长春,昌图西,D20
昌图西,铁岭西,D20
铁岭西,沈阳北,D20
沈阳北,绥中北,D20
绥中北,北京,D20
北京,唐山北,D21
秦皇岛,山海关,D21
山海关,葫芦岛北,D21
葫芦岛北,锦州南,D21
锦州南,盘锦北,D21
盘锦北,沈阳北,D21
沈阳北,铁岭西,D21
铁岭西,开原西,D21
开原西,四平东,D21
四平东,长春,D21
长春,吉林,D21
吉林,蛟河西,D21
蛟河西,敦化,D21
敦化,安图西,D21
安图西,延吉西,D21
延吉西,图们北,D21
图们北,珲春,D21
珲春,图们北,D22
安图西,敦化,D22
敦化,蛟河西,D22
蛟河西,吉林,D22
吉林,长春,D22
长春,长春西,D22
长春西,四平东,D22
四平东,沈阳北,D22
沈阳北,盘锦北,D22
盘锦北,绥中北,D22
绥中北,山海关,D22
山海关,秦皇岛,D22
秦皇岛,唐山北,D22
唐山北,北京,D22
北京,秦皇岛,D23
盘锦北,沈阳北,D23
沈阳北,四平东,D23
四平东,长春西,D23
长春西,公主岭南,D24
开原西,铁岭西,D24
铁岭西,沈阳北,D24
沈阳北,盘锦北,D24
盘锦北,锦州南,D24
锦州南,绥中北,D24
绥中北,山海关,D24
山海关,蓟州,D24
蓟州,北京,D24
北京,唐山北,D25
秦皇岛,山海关,D25
山海关,绥中北,D25
绥中北,葫芦岛北,D25
葫芦岛北,锦州南,D25
锦州南,台安,D25
台安,辽中,D25
辽中,沈阳北,D25
沈阳北,铁岭西,D25
铁岭西,公主岭南,D25
公主岭南,长春西,D25
长春西,哈尔滨西,D25
哈尔滨西,宾州,D25
宾州,方正,D25
方正,依兰,D25
依兰,佳木斯,D25
佳木斯,依兰,D26
宾州,哈尔滨西,D26
哈尔滨西,扶余北,D26
扶余北,四平东,D26
四平东,铁岭西,D26
铁岭西,沈阳北,D26
沈阳北,台安,D26
台安,盘锦北,D26
盘锦北,锦州南,D26
锦州南,山海关,D26
山海关,秦皇岛,D26
秦皇岛,北戴河,D26
北戴河,北京,D26
北京,蓟州,D27
秦皇岛,山海关,D27
山海关,葫芦岛北,D27
葫芦岛北,盘锦北,D27
盘锦北,沈阳北,D27
沈阳北,哈尔滨西,D27
哈尔滨西,德惠西,D28
沈阳北,葫芦岛北,D28
葫芦岛北,山海关,D28
山海关,北戴河,D28
北戴河,唐山北,D28
唐山北,蓟州,D28
蓟州,北京,D28
北京,北戴河,D29
山海关,锦州南,D29
锦州南,台安,D29
台安,沈阳北,D29
沈阳北,铁岭西,D29
铁岭西,长春西,D29
长春西,哈尔滨西,D29
哈尔滨西,哈尔滨,D29
哈尔滨,肇东,D29
肇东,安达,D29
安达,大庆东,D29
大庆东,齐齐哈尔南,D29
齐齐哈尔南,大庆东,D30
肇东,哈尔滨,D30
哈尔滨,哈尔滨西,D30
哈尔滨西,扶余北,D30
扶余北,长春西,D30
长春西,四平东,D30
四平东,沈阳北,D30
沈阳北,锦州南,D30
锦州南,山海关,D30
山海关,北戴河,D30
北戴河,北京,D30
通辽,沈阳,D50
沈阳,鞍山西,D50
鞍山西,盘锦,D50
盘锦,北戴河,D50
北戴河,北京,D50
北京,唐山北,D51
唐山北,滦县,D51
滦县,秦皇岛,D51
秦皇岛,山海关,D51
山海关,葫芦岛北,D51
葫芦岛北,锦州南,D51
锦州南,盘锦,D51
盘锦,海城西,D51
海城西,鞍山西,D51
鞍山西,辽阳,D51
辽阳,沈阳北,D51
沈阳北,辽阳,D52
辽阳,鞍山西,D52
鞍山西,海城西,D52
海城西,盘锦,D52
盘锦,绥中北,D52
绥中北,山海关,D52
山海关,秦皇岛,D52
秦皇岛,滦县,D52
滦县,北京,D52
兰州西,西宁,D55
张掖西,酒泉南,D55
酒泉南,嘉峪关南,D55
嘉峪关南,玉门,D55
玉门,柳园南,D55
柳园南,哈密,D55
哈密,鄯善北,D55
鄯善北,吐鲁番北,D55
吐鲁番北,乌鲁木齐,D55
乌鲁木齐,吐鲁番北,D56
柳园南,玉门,D56
玉门,嘉峪关南,D56
嘉峪关南,酒泉南,D56
酒泉南,张掖西,D56
张掖西,民乐,D56
民乐,大通西,D56
大通西,西宁,D56
西宁,兰州西,D56
北京,北戴河,D73
山海关,锦州南,D73
锦州南,台安,D73
台安,沈阳北,D73
沈阳北,四平东,D73
四平东,长春,D73
长春,吉林,D73
吉林,长春,D74
沈阳北,盘锦北,D74
盘锦北,山海关,D74
山海关,秦皇岛,D74
秦皇岛,唐山北,D74
唐山北,蓟州,D74
蓟州,北京,D74
北京,北戴河,D101
山海关,葫芦岛北,D101
葫芦岛北,锦州南,D101
锦州南,沈阳北,D101
沈阳北,四平东,D101
四平东,长春西,D101
长春西,哈尔滨西,D101
哈尔滨西,扶余北,D102
长春西,昌图西,D102
昌图西,铁岭西,D102
铁岭西,沈阳北,D102
沈阳北,锦州南,D102
锦州南,葫芦岛北,D102
葫芦岛北,绥中北,D102
绥中北,北戴河,D102
北戴河,唐山北,D102
唐山北,北京,D102
长春,扶余北,D119
海林北,牡丹江,D119
牡丹江,横道河子东,D120
扶余北,德惠西,D120
德惠西,长春,D120
长春,扶余北,D121
宾州,方正,D121
方正,依兰,D121
依兰,佳木斯,D121
佳木斯,依兰,D122
宾州,哈尔滨西,D122
哈尔滨西,长春,D122
南宁东,广州南,D201
广州南,南宁东,D202
南宁东,广州南,D203
广州南,南宁东,D204
南宁东,广州南,D205
广州南,南宁东,D206
南宁东,广州南,D207
广州南,南宁东,D208
贵阳北,广州南,D211
贵阳北,广州南,D212
贵阳北,广州南,D213
广州南,贵阳北,D214
福州,尤溪,D296
尤溪,三明北,D296
三明北,将乐,D296
将乐,泰宁,D296
泰宁,南丰,D296
南丰,南城,D296
南城,抚州,D296
抚州,南昌西,D296
南昌西,永修,D296
永修,德安,D296
德安,庐山,D296
庐山,瑞昌西,D296
瑞昌西,阳新,D296
阳新,鄂州,D296
鄂州,葛店南,D296
葛店南,武汉,D296
武汉,汉口,D296
汉口,孝感北,D296
孝感北,漯河西,D296
漯河西,许昌东,D296
许昌东,郑州,D296
北京,大明湖,D335
潍坊,青岛北,D335
青岛北,潍坊,D336
大明湖,天津西,D336
天津西,北京,D336
汉口,汉川,D361
潜江,宜昌东,D361
宜昌东,恩施,D361
恩施,利川,D361
利川,石柱县,D361
石柱县,涪陵北,D361
涪陵北,重庆北,D361
重庆北,合川,D361
合川,潼南,D361
潼南,遂宁,D361
遂宁,成都东,D361
成都东,重庆北,D362
宜昌东,荆州,D362
荆州,汉口,D362
广州南,佛山西,D377
南江口,梧州南,D377
梧州南,藤县,D377
藤县,平南南,D377
平南南,桂平,D377
桂平,贵港,D377
贵港,来宾北,D377
来宾北,柳州,D377
深圳北,深圳坪山,D378
饶平,诏安,D378
诏安,云霄,D378
云霄,角美,D378
角美,厦门北,D378
厦门北,泉州,D378
泉州,莆田,D378
莆田,福清,D378
福清,福州南,D378
福州南,罗源,D378
罗源,宁德,D378
宁德,太姥山,D378
太姥山,平阳,D378
平阳,瑞安,D378
瑞安,温州南,D378
温州南,台州,D378
台州,临海,D378
临海,宁波,D378
宁波,余姚北,D378
余姚北,绍兴东,D378
绍兴东,杭州南,D378
杭州南,杭州东,D378
杭州东,嘉兴南,D378
嘉兴南,上海虹桥,D378
上海虹桥,金山北,D381
海宁西,余杭,D381
余杭,杭州东,D381
杭州东,余姚北,D381
余姚北,宁波,D381
宁波,宁海,D381
宁海,临海,D381
临海,温岭,D381
温岭,绅坊,D381
绅坊,温州南,D381
温州南,苍南,D381
苍南,霞浦,D381
霞浦,罗源,D381
罗源,福州南,D381
福州南,福清,D381
福清,莆田,D381
福州南,宁德,D382
福鼎,苍南,D382
苍南,温州南,D382
温州南,三门县,D382
三门县,宁波,D382
宁波,绍兴东,D382
绍兴东,杭州南,D382
杭州南,杭州东,D382
杭州东,桐乡,D382
桐乡,金山北,D382
金山北,上海虹桥,D382
宜昌东,建始,D623
利川,丰都,D623
丰都,涪陵北,D623
涪陵北,长寿北,D623
长寿北,重庆北,D623
重庆北,长寿北,D624
丰都,利川,D624
利川,恩施,D624
恩施,建始,D624
建始,巴东,D624
巴东,宜昌东,D624
汉口,汉川,D625
巴东,高坪,D625
高坪,恩施,D625
恩施,利川,D625
利川,石柱县,D625
石柱县,丰都,D625
丰都,涪陵北,D625
涪陵北,重庆北,D625
重庆北,丰都,D626
恩施,建始,D626
建始,巴东,D626
巴东,宜昌东,D626
宜昌东,枝江北,D626
枝江北,荆州,D626
荆州,潜江,D626
潜江,汉口,D626
汉口,汉川,D629
荆州,宜昌东,D629
宜昌东,恩施,D629
恩施,利川,D629
利川,石柱县,D629
石柱县,涪陵北,D629
涪陵北,重庆北,D629
重庆北,石柱县,D630
恩施,宜昌东,D630
宜昌东,荆州,D630
荆州,汉口,D630
福州南,莆田,D671
厦门北,角美,D671
角美,漳州,D671
漳州,云霄,D671
云霄,潮汕,D671
潮汕,普宁,D671
普宁,深圳北,D671
深圳北,深圳坪山,D672
惠东,汕尾,D672
汕尾,潮阳,D672
潮阳,潮汕,D672
潮汕,饶平,D672
饶平,漳浦,D672
漳浦,漳州,D672
漳州,厦门北,D672
厦门北,泉州,D672
泉州,莆田,D672
莆田,福清,D672
福清,福州南,D672
厦门,漳浦,D673
饶平,普宁,D673
普宁,葵潭,D673
葵潭,陆丰,D673
陆丰,惠州南,D673
惠州南,深圳坪山,D673
深圳坪山,深圳北,D673
深圳北,葵潭,D674
潮阳,潮汕,D674
潮汕,饶平,D674
饶平,诏安,D674
诏安,云霄,D674
云霄,漳浦,D674
漳浦,漳州,D674
漳州,厦门,D674
厦门,漳州,D675
诏安,潮汕,D675
潮汕,普宁,D675
普宁,陆丰,D675
陆丰,惠州南,D675
惠州南,深圳北,D675
深圳北,惠州南,D676
陆丰,潮阳,D676
潮阳,潮汕,D676
潮汕,饶平,D676
饶平,诏安,D676
诏安,厦门,D676
漳州,漳浦,D677
漳浦,诏安,D677
诏安,饶平,D677
饶平,潮汕,D677
潮汕,普宁,D677
普宁,��门,D677
��门,深圳北,D677
深圳北,惠州南,D678
惠州南,汕尾,D678
汕尾,潮汕,D678
潮汕,饶平,D678
饶平,诏安,D678
诏安,漳浦,D678
漳浦,漳州,D678
厦门,漳浦,D683
漳浦,潮汕,D683
潮汕,潮阳,D683
潮阳,普宁,D683
普宁,惠州南,D683
惠州南,深圳北,D683
深圳北,惠州南,D684
潮汕,饶平,D684
饶平,诏安,D684
诏安,云霄,D684
云霄,漳浦,D684
漳浦,厦门,D684
厦门,漳州,D685
云霄,潮汕,D685
潮汕,葵潭,D685
葵潭,汕尾,D685
汕尾,惠州南,D685
惠州南,深圳坪山,D685
深圳坪山,深圳北,D685
厦门,漳州,D687
饶平,潮汕,D687
潮汕,普宁,D687
普宁,陆丰,D687
陆丰,汕尾,D687
汕尾,深圳坪山,D687
深圳坪山,深圳北,D687
深圳北,深圳坪山,D688
深圳坪山,惠州南,D688
惠州南,葵潭,D688
葵潭,潮汕,D688
