Station,Code,In station_base,In output,Shared by both,shared_by_all_three,in_sh_price_info,lng,lat
林家台,,True,False,False,False,False,123.95224,40.717667
武隆,WLW,True,True,True,False,False,107.776306,29.326195
大安,RAT,True,True,True,False,False,124.283218,45.483671
泉州东,QRS,True,True,True,True,True,118.639593,24.920973
海石湾,HSO,True,True,True,False,False,102.865044,36.340446
冕宁,UGW,True,True,True,False,False,102.19249,28.284086
诸城,ZQK,True,True,True,False,False,119.389689,36.062955
腰栈,,True,False,False,False,False,117.872253,41.857498
嘉峪关,JGJ,True,True,True,False,False,98.253494,39.764654
建瓯西,JUS,True,True,True,True,True,118.279929,27.04853
土贵乌拉,TGC,True,True,True,False,False,113.205544,40.785919
昌图,CTT,True,True,True,False,False,124.117055,42.779016
驼腰岭,TIL,True,True,True,False,False,125.903061,42.181515
葫芦岛北,HPD,True,True,True,True,True,120.763163,40.742802
阳澄湖,AIH,True,True,True,True,True,120.861908,31.380606
侯马西,HPV,True,True,True,True,True,111.289241,35.601487
尚家,SJB,True,True,True,False,False,125.876862,46.127487
东城南,IYQ,True,True,True,False,False,116.442292,39.885556
通远堡西,TST,True,True,True,False,False,123.91584,40.778255
南阳寨,NYF,True,True,True,False,False,112.53450131351325,32.99656220465144
新场,,True,False,False,False,False,106.842064,28.292215
伊通,YTL,True,True,True,False,False,125.287887,43.3707
兰州东,LVJ,True,True,True,False,False,103.891694,36.030096
五女山,WET,True,True,True,False,False,125.335396,41.282299
营盘湾,,True,False,False,False,False,109.79258,40.925068
绩溪北,NRH,True,True,True,True,True,118.571612,30.071143
四平东,PPT,True,True,True,True,True,124.438004,43.138578
桥湾,,True,False,False,False,False,96.641998,40.565804
靖州,JEQ,True,True,True,False,False,109.688542,26.566416
温岭,VHH,True,True,True,True,True,121.324835,28.479154
五台山,WSV,True,True,True,False,False,113.566553,39.265169
河唇,HCZ,True,True,True,False,False,110.301842,21.696329
桐梓北,TBE,True,True,True,False,False,106.831622,28.385464
迎祥街,,True,False,False,False,False,105.214279,29.389513
加格达奇,JGX,True,True,True,False,False,124.126785,50.420347
疏勒河,SHJ,True,True,True,False,False,96.8684824298704,40.10910519964795
鸡东,JOB,True,True,True,False,False,131.151501,45.253174
闻喜西,WOV,True,True,True,False,False,111.179897,35.336657
邵阳,SYQ,True,True,True,True,True,111.461423,27.212968
水家湖,SQH,True,True,True,True,True,117.168892,32.48291
睢宁,,True,False,False,False,True,117.9613,33.905
长春,CCT,True,True,True,True,True,125.324537,43.911417
庄桥,ZQH,True,True,True,False,False,121.552696,29.924234
金华南,RNH,True,True,True,True,True,119.738956,29.114425
宜城,YIN,True,True,True,False,False,112.183647,31.630244
漫水湾,MKW,True,True,True,False,False,102.166145,28.208168
晋城,JCF,True,True,True,False,False,112.873283,35.475742
山市,SQB,True,True,True,False,False,129.100922,44.578709
烟台,YAK,True,True,True,True,True,121.382686,37.548519
南昌,NCG,True,True,True,True,True,115.91795,28.661698
苏集,,True,False,False,False,False,113.114189,40.899822
田东北,TBZ,True,True,True,False,False,107.141808,23.683425
南部,NBE,True,True,True,False,False,106.057988,31.347382
新友谊,EYB,True,True,True,False,False,131.815285,46.766557
迤资,YQM,True,True,True,False,False,101.867508,26.457117
