Station,Code,In station_base,In output,Shared by both,shared_by_all_three,in_sh_price_info,lng,lat,Province,Geographical Zone,City,District,Address
林家台,,True,False,False,False,False,123.95224,40.717667,辽宁省,东北,丹东市,凤城市,丹东市-凤城市-通远堡镇林家台村
武隆,WLW,True,True,True,False,False,107.776306,29.326195,重庆市,西南,重庆市,武隆区,重庆市-武隆区-芙蓉街道002乡道
大安,RAT,True,True,True,False,False,124.283218,45.483671,吉林省,东北,白城市,大安市,白城市-大安市-滨湖大路与西站街交汇处
泉州东,QRS,True,True,True,True,True,118.639593,24.920973,福建省,华东,泉州市,惠安县,泉州市-惠安县-东园镇后山泉州惠南中学北侧
海石湾,HSO,True,True,True,False,False,102.865044,36.340446,甘肃省,西北,兰州市,红古区,兰州市-红古区-大通路
冕宁,UGW,True,True,True,False,False,102.19249,28.284086,四川省,西南,凉山彝族自治州,冕宁县,凉山彝族自治州-冕宁县-泸沽镇交南路89号
诸城,ZQK,True,True,True,False,False,119.389689,36.062955,山东省,华东,潍坊市,诸城市,潍坊市-诸城市-站前街
腰栈,,True,False,False,False,False,117.872253,41.857498,河北省,华北,承德市,围场满族蒙古族自治县,承德市-围场满族蒙古族自治县-顺风街9号
嘉峪关,JGJ,True,True,True,False,False,98.253494,39.764654,甘肃省,西北,嘉峪关市,,嘉峪关市-迎宾路1号
建瓯西,JUS,True,True,True,True,True,118.279929,27.04853,福建省,华东,南平市,建瓯市,南平市-建瓯市-徐墩镇建州路
土贵乌拉,TGC,True,True,True,False,False,113.205544,40.785919,内蒙古自治区,华北,乌兰察布市,察哈尔右翼前旗,乌兰察布市-察哈尔右翼前旗-光明路与解放路交叉口
昌图,CTT,True,True,True,False,False,124.117055,42.779016,辽宁省,东北,铁岭市,昌图县,铁岭市-昌图县-站前街
驼腰岭,TIL,True,True,True,False,False,125.903061,42.181515,吉林省,东北,通化市,柳河县,通化市-柳河县-驼腰岭镇
葫芦岛北,HPD,True,True,True,True,True,120.763163,40.742802,辽宁省,东北,葫芦岛市,连山区,葫芦岛市-连山区-京哈高速
阳澄湖,AIH,True,True,True,True,True,120.861908,31.380606,江苏省,华东,苏州市,昆山市,苏州市-昆山市-新城路
侯马西,HPV,True,True,True,True,True,111.289241,35.601487,山西省,华北,临汾市,侯马市,临汾市-侯马市-108国道旁
尚家,SJB,True,True,True,False,False,125.876862,46.127487,黑龙江省,东北,绥化市,肇东市,绥化市-肇东市-肇宣公路
东城南,IYQ,True,True,True,False,False,116.442292,39.885556,广东省,华南,东莞市,,东莞市-莞长路和长泰路丁字路口的环岛处
通远堡西,TST,True,True,True,False,False,123.91584,40.778255,辽宁省,东北,丹东市,凤城市,丹东市-凤城市-通远堡经济开发区二道坊
南阳寨,NYF,True,True,True,False,False,112.53450131351325,32.99656220465144,河南省,华中,郑州市,惠济区,郑州市-惠济区-刘寨街道铁东路
新场,,True,False,False,False,False,106.842064,28.292215,上海市,华东,上海市,浦东新区,
伊通,YTL,True,True,True,False,False,125.287887,43.3707,吉林省,东北,四平市,伊通满族自治县,四平市-伊通满族自治县-管家屯村
兰州东,LVJ,True,True,True,False,False,103.891694,36.030096,甘肃省,西北,兰州市,城关区,兰州市-城关区-焦家湾南路66号向东200米路南
五女山,WET,True,True,True,False,False,125.335396,41.282299,辽宁省,东北,本溪市,桓仁满族自治县,本溪市-桓仁满族自治县-龙宝路
营盘湾,,True,False,False,False,False,109.79258,40.925068,内蒙古自治区,华北,巴彦淖尔市,乌拉特前旗,巴彦淖尔市-乌拉特前旗-朝阳乡
绩溪北,NRH,True,True,True,True,True,118.571612,30.071143,安徽省,华东,宣城市,绩溪县,宣城市-绩溪县-龙川大道与徽山大道交汇处
四平东,PPT,True,True,True,True,True,124.438004,43.138578,吉林省,东北,四平市,铁东区,四平市-铁东区-紫气大路1号
桥湾,,True,False,False,False,False,96.641998,40.565804,甘肃省,西北,酒泉市,瓜州县,酒泉市-瓜州县
靖州,JEQ,True,True,True,False,False,109.688542,26.566416,湖南省,华中,怀化市,靖州苗族侗族自治县,怀化市-靖州苗族侗族自治县-红星西路105号
温岭,VHH,True,True,True,True,True,121.324835,28.479154,浙江省,华东,台州市,温岭市,台州市-温岭市-大溪镇利岙村广场环路
五台山,WSV,True,True,True,False,False,113.566553,39.265169,山西省,华北,忻州市,繁峙县,忻州市-繁峙县-砂河镇文慧路
河唇,HCZ,True,True,True,False,False,110.301842,21.696329,广东省,华南,湛江市,廉江市,湛江市-廉江市-河唇镇五一路
桐梓北,TBE,True,True,True,False,False,106.831622,28.385464,贵州省,西南,遵义市,桐梓县,遵义市-桐梓县-夜郎镇
迎祥街,,True,False,False,False,False,105.214279,29.389513,四川省,西南,内江市,隆昌市,内江市-隆昌市-321国道
加格达奇,JGX,True,True,True,False,False,124.126785,50.420347,黑龙江省,东北,大兴安岭地区,加格达奇区,大兴安岭地区-加格达奇区-世纪大道
疏勒河,SHJ,True,True,True,False,False,96.8684824298704,40.10910519964795,甘肃省,西北,酒泉市,瓜州县,酒泉市-瓜州县-永安街
鸡东,JOB,True,True,True,False,False,131.151501,45.253174,黑龙江省,东北,鸡西市,鸡东县,鸡西市-鸡东县-振兴大街100号
闻喜西,WOV,True,True,True,False,False,111.179897,35.336657,山西省,华北,运城市,闻喜县,运城市-闻喜县-郭家庄镇
邵阳,SYQ,True,True,True,True,True,111.461423,27.212968,湖南省,华中,邵阳市,大祥区,邵阳市-大祥区-站南路
水家湖,SQH,True,True,True,True,True,117.168892,32.48291,安徽省,华东,合肥市,长丰县,合肥市-长丰县-长淮路
睢宁,,True,False,False,False,True,117.9613,33.905,江苏省,华东,徐州市,睢宁县,徐州市-睢宁县-中山路
长春,CCT,True,True,True,True,True,125.324537,43.911417,吉林省,东北,长春市,宽城区,长春市-宽城区-长白路5号
庄桥,ZQH,True,True,True,False,False,121.552696,29.924234,浙江省,华东,宁波市,江北区,宁波市-江北区-庄桥站路与庄洪路交叉口
金华南,RNH,True,True,True,True,True,119.738956,29.114425,浙江省,华东,金华市,金东区,金华市-金东区-金瓯路东段
宜城,YIN,True,True,True,False,False,112.183647,31.630244,湖北省,华中,襄阳市,宜城市,襄阳市-宜城市-华光路
漫水湾,MKW,True,True,True,False,False,102.166145,28.208168,四川省,西南,凉山彝族自治州,冕宁县,凉山彝族自治州-冕宁县-漫水湾镇108国道西侧
晋城,JCF,True,True,True,False,False,112.873283,35.475742,山西省,华北,晋城市,城区,晋城市-城区-迎宾街98号
山市,SQB,True,True,True,False,False,129.100922,44.578709,黑龙江省,东北,牡丹江市,海林市,牡丹江市-海林市-083县道
烟台,YAK,True,True,True,True,True,121.382686,37.548519,山东省,华东,烟台市,芝罘区,烟台市-芝罘区-北马路135号
南昌,NCG,True,True,True,True,True,115.91795,28.661698,江西省,华东,南昌市,青山湖区,南昌市-青山湖区-二七南路213号
苏集,,True,False,False,False,False,113.114189,40.899822,内蒙古自治区,华北,乌兰察布市,察哈尔右翼前旗,乌兰察布市-察哈尔右翼前旗-内蒙古乌兰察布市察哈尔右翼前旗苏集村
田东北,TBZ,True,True,True,False,False,107.141808,23.683425,广西壮族自治区,华南,百色市,田东县,百色市-田东县-平马镇子安村子桑屯
南部,NBE,True,True,True,False,False,106.057988,31.347382,四川省,西南,南充市,南部县,南充市-南部县-老鸦镇火车站大道
新友谊,EYB,True,True,True,False,False,131.815285,46.766557,黑龙江省,东北,双鸭山市,友谊县,双鸭山市-友谊县-友谊路2号
迤资,YQM,True,True,True,False,False,101.867508,26.457117,四川省,西南,攀枝花市,仁和区,攀枝花市-仁和区-大龙潭乡马头滩村
桂平,GAZ,True,True,True,False,False,110.116286,23.316214,广西壮族自治区,华南,贵港市,桂平市,贵港市-桂平市-迎宾大道
潞城,UTP,True,True,True,False,False,113.22223,36.32076,山西省,华北,长治市,潞城区,长治市-潞城区-潞城市站前路1号
小东,XOD,True,True,True,False,False,122.329315,42.032146,辽宁省,东北,锦州市,黑山县,锦州市-黑山县-小东镇
绿化,LWJ,True,True,True,False,False,98.251381,39.801552,甘肃省,西北,嘉峪关市,,嘉峪关市-长城西路北侧
青水山,,True,False,False,False,False,124.616531,48.103764,黑龙江省,东北,齐齐哈尔市,讷河市,齐齐哈尔市-讷河市
莒南北,,True,False,False,False,False,118.80542403792133,35.27994188824632,山东省,华东,临沂市,莒南县,临沂市-莒南县
古城子,,True,False,False,False,False,100.2324803392115,26.883161684001312,辽宁省,东北,抚顺市,望花区,
草河口,CKT,True,True,True,False,False,123.91770674606562,40.88448959797091,辽宁省,东北,本溪市,本溪满族自治县,本溪市-本溪满族自治县-草河口镇G304
咸阳,XYY,True,True,True,True,True,108.734669,34.343596,陕西省,西北,咸阳市,渭城区,咸阳市-渭城区-抗战路1号
亳州,BZH,True,True,True,True,True,115.797378,33.847843,安徽省,华东,亳州市,谯城区,亳州市-谯城区-芍花路1号
苇子沟,WZL,True,True,True,False,False,129.678162,43.031929,吉林省,东北,延边朝鲜族自治州,图们市,延边朝鲜族自治州-图们市-长安镇长安街
牛心台,NXT,True,True,True,False,False,123.900948,41.35413,辽宁省,东北,本溪市,明山区,本溪市-明山区-牛心台镇
东海县,DQH,True,True,True,True,True,118.752842,34.542309,江苏省,华东,连云港市,东海县,连云港市-东海县-玮一路
祁县,QXV,True,True,True,False,False,112.33107,37.346821,山西省,华北,晋中市,祁县,晋中市-祁县-新建南路
天棚,,True,False,False,False,False,99.235901,37.239216,青海省,西北,海西蒙古族藏族自治州,天峻县,海西蒙古族藏族自治州-天峻县-新源镇
慈利,CUQ,True,True,True,True,True,111.119115,29.417011,湖南省,华中,张家界市,慈利县,张家界市-慈利县-零阳镇紫霞路
甘泉,GQY,True,True,True,False,False,109.353393,36.258552,陕西省,西北,延安市,甘泉县,延安市-甘泉县-城关镇太皇山村太皇路
聊城,UCK,True,True,True,False,False,115.944388,36.457583,山东省,华东,聊城市,东昌府区,聊城市-东昌府区-站前街
前窑,,True,False,False,False,False,126.619339,44.193062,吉林省,东北,吉林市,龙潭区,吉林市-龙潭区-大口钦镇前窑村
镇安,ZEY,True,True,True,False,False,109.16951,33.420901,陕西省,西北,商洛市,镇安县,商洛市-镇安县-迎宾路
利川,LCN,True,True,True,True,True,108.940966,30.278396,湖北省,华中,恩施土家族苗族自治州,利川市,恩施土家族苗族自治州-利川市-南环大道
德惠西,DXT,True,True,True,False,False,125.676556,44.545522,吉林省,东北,长春市,德惠市,长春市-德惠市-迎新村德环路
魏杖子,WKD,True,True,True,False,False,119.065048,40.976608,辽宁省,东北,朝阳市,凌源市,朝阳市-凌源市-刘杖子乡魏杖子村
九营,,True,False,False,False,False,131.953644,46.919895,黑龙江省,东北,双鸭山市,友谊县,双鸭山市-友谊县-西北屯村221国道
甸心,DXM,True,True,True,False,False,101.718788,25.315063,云南省,西南,楚雄彝族自治州,禄丰市,楚雄彝族自治州-禄丰市-妥安乡
彭山北,PPW,True,True,True,True,True,103.861426,30.207625,四川省,西南,眉山市,彭山区,眉山市-彭山区-072县道
左家,,True,False,False,False,False,126.092575,44.076202,吉林省,东北,吉林市,昌邑区,吉林市-昌邑区-左家大街
电白,NWQ,True,True,True,False,False,111.0048,21.507895,广东省,华南,茂名市,电白区,茂名市-电白区-G325
五莲,WLK,True,True,True,False,False,119.206921,35.804991,山东省,华东,日照市,五莲县,日照市-五莲县-迎宾路
张百湾,ZUP,True,True,True,False,False,117.481804,40.999104,河北省,华北,承德市,滦平县,承德市-滦平县-张百湾镇河北村
青山,QSB,True,True,True,False,False,114.422515,30.632354,黑龙江省,东北,牡丹江市,林口县,牡丹江市-林口县-青山乡青山村
新平坝,,True,False,False,False,False,106.2696910967554,26.392624659465184,贵州省,西南,安顺市,平坝区,安顺市-平坝区-黎阳大道
阳信,YVK,True,True,True,False,False,117.619111,37.569027,山东省,华东,滨州市,阳信县,滨州市-阳信县-河流镇高池村
上饶,SRG,True,True,True,True,True,118.006405,28.490279,江西省,华东,上饶市,信州区,上饶市-信州区-站前大道
重庆北,CUW,True,True,True,True,True,106.551108,29.609774,重庆市,西南,重庆市,渝北区,重庆市-渝北区-昆仑大道51号附8号
萧县,,True,False,False,False,True,116.958722,34.169338,安徽省,华东,宿州市,萧县,宿州市-萧县-龙城镇车站路
超梁沟,CYP,True,True,True,False,False,117.696053,41.23307,河北省,华北,承德市,隆化县,承德市-隆化县-隆化镇超梁沟村
锦界,JEY,True,True,True,False,False,110.155312,38.723606,陕西省,西北,榆林市,神木市,榆林市-神木市-神木县锦界镇神府经济开发区电化路
开平南,PVQ,True,True,True,False,False,112.700382,22.38025,广东省,华南,江门市,开平市,江门市-开平市-站前大道
大雅河,,True,False,False,False,False,113.018028,22.772469,辽宁省,东北,本溪市,桓仁满族自治县,本溪市-桓仁满族自治县
张家界西,,True,False,False,False,True,110.502642,29.113665,湖南省,华中,张家界市,永定区,张家界市-永定区-沙堤街道武陵山大道
虎门东,,True,False,False,False,False,113.672783,22.814705,广东省,华南,东莞市,,东莞市-太宝路
仙水,,True,False,False,False,False,118.758492,25.431921,贵州省,西南,毕节市,威宁彝族回族苗族自治县,毕节市-威宁彝族回族苗族自治县
额济纳,EJC,True,True,True,False,False,101.04245,41.892319,内蒙古自治区,华北,阿拉善盟,额济纳旗,阿拉善盟-额济纳旗-达来呼布镇
滴道,DDB,True,True,True,False,False,130.833456,45.346107,黑龙江省,东北,鸡西市,滴道区,鸡西市-滴道区-309省道
宝清,BUB,True,True,True,False,False,132.20817798969043,46.359583147672566,黑龙江省,东北,双鸭山市,宝清县,双鸭山市-宝清县-宝清镇幸林路
高谷,,True,False,False,False,False,108.073708,29.381113,重庆市,西南,重庆市,彭水苗族土家族自治县,重庆市-彭水苗族土家族自治县
滁州,CXH,True,True,True,True,True,118.319862,32.198885,安徽省,华东,滁州市,全椒县,滁州市-全椒县-南谯区洪武西路198号
新民,XMD,True,True,True,False,False,122.816653,42.000836,辽宁省,东北,沈阳市,新民市,沈阳市-新民市-站前东路36号
沧州西,CBP,True,True,True,True,True,116.767995,38.306686,河北省,华北,沧州市,沧县,沧州市-沧县-解放西路西端头
庐山,LSG,True,True,True,True,True,115.881549,29.596199,江西省,华东,九江市,柴桑区,九江市-柴桑区-柴桑南路
中和,ZHX,True,True,True,False,False,124.381424,47.680023,黑龙江省,东北,齐齐哈尔市,富裕县,齐齐哈尔市-富裕县-中和农场(S19嫩泰高速附近)
黄河景区,HCF,True,True,True,False,False,123.419464,41.825027,河南省,华中,郑州市,惠济区,郑州市-惠济区-古荥镇于庄新村
九台南,JNL,True,True,True,False,False,125.812024,44.02285,吉林省,东北,长春市,九台区,长春市-九台区-西营城镇
青岛,QDK,True,True,True,True,True,120.312592,36.065193,山东省,华东,青岛市,市南区,青岛市-市南区-泰安路2号
四家子,,True,False,False,False,False,124.227409,42.658352,辽宁省,东北,葫芦岛市,建昌县,葫芦岛市-建昌县-四家子站
劲松,,True,False,False,False,False,116.450668,39.882648,北京市,华北,北京市,朝阳区,
大兴机场,,True,False,False,False,False,116.420667,39.542956,河北省,华北,廊坊市,广阳区,廊坊市-广阳区-S3501(北京新机场高速)
南朗,NNQ,True,True,True,False,False,113.534233,22.489304,广东省,华南,中山市,,中山市-佳朗路
涉县,OEP,True,True,True,False,False,113.668528,36.577372,河北省,华北,邯郸市,涉县,邯郸市-涉县-迎宾街
和硕,VUR,True,True,True,False,False,86.878562,42.303563,新疆维吾尔自治区,西北,巴音郭楞蒙古自治州,和硕县,巴音郭楞蒙古自治州-和硕县-312古国道
海龙,HIL,True,True,True,False,False,125.835823,42.64941,吉林省,东北,通化市,梅河口市,通化市-梅河口市-海龙镇010乡道
璧山,FZW,True,True,True,False,False,106.224451,29.504082,重庆市,西南,重庆市,璧山区,重庆市-璧山区-虎峰大道
